"id_base","name_base","id_company","number_vehicles"
B00008,T-D MAINTENANCE CORP,12,122
B00009,T-D MAINTENANCE,12,121
B00013,LOVE CORP CAR INC,12,181
B00014,NY ONE CORP CAR INC,12,181
B00021,MEXICANA HIGH CLASS INC.,12,31
B00029,COMMUNITY CAR SVC CORP,12,121
B00030,TREMONT DISPATCHING CORP,12,92
B00035,LOTUS RIDE INC,12,46
B00037,TRANSP UNLIMITED C/S,12,91
B00053,CHARGE AND RIDE INC,12,90
B00078,R & R ROAD LIMO SVCE INC,12,31
B00083,PAGE-A-RIDE INC,12,90
B00084,AUTOMOTIVE SVC SYSTEM INC,12,31
B00095,LIBERTY CAR SERVICE INC.,12,180
B00111,"",2,55
B00160,JAFFA CAR & LIMO SVC INC,12,61
B00170,EMUNAH CAR SERVICE INC,12,79
B00171,SHAMROCK DISPATCH INC,12,32
B00202,EXCELSIOR CAR & LIMO INC.,12,122
B00208,ERNEST SCHWARZ INC,12,61
B00210,QUEENS DISPATCH SVC INC.,12,61
B00221,PROFESSIONAL CAR SERVICE INC,12,180
B00227,PARK WEST EXEC. SERVICES INC.,12,118
B00235,ARISTACAR & LIMOUSINE LTD.,12,120
B00236,LAST RADIO GROUP CORP.,12,95
B00248,YELLOWSTONE TRANSPORTATION INC.,12,181
B00254,XYZ TWO WAY RADIO,12,150
B00255,CAUTIOUS CARS INC.,12,30
B00256,"",10,92
B00272,BIG APPLE CAR INC,12,92
B00277,ALL CITY CORP TRANS INC,12,153
B00280,FLEET RADIO DISPATCH CORP.,12,120
B00281,VEE CEE LIMOUSINE SERVICE INC,12,115
B00296,PRIME TIME TRANS. INC,12,122
B00310,WATSON CAR SERVICE INC.,12,151
B00319,AVENTINE AUTO RENTAL INC,12,31
B00334,DO MAX CORP.,12,31
B00345,MARTINS BELLE HARBOR CAR SERVICE',12,30
B00346,MERRICK C/S INC,12,15
B00373,PARTICULAR PEOPLE CAR SERVICE INC.,12,57
B00381,BELL RADIO INC,12,212
B00411,FONE-A-CAR INC,12,153
B00412,NYC 2 WAY INTERNATIONAL LTD,12,181
B00448,DIAL CAR INC.,12,94
B00457,PREMIUM BRONX CORP,12,59
B00475,RIDGE TRANSPORTATION CORP.,12,60
B00477,INTA-BORO ACRES INC,12,181
B00481,"806 SERVICE LLC",12,32
B00485,EARLY BIRD CAR SERVICE INC,12,29
B00492,BLUE WHITE ASSOC. TRANS.SVC.INC.,12,47
B00552,HINO-MARU ENTERPRISES INC.,12,174
B00593,RYDER MANAGEMENT INC.,12,31
B00608,SUMMIT CORP CAR INC,12,153
B00619,LINCOLN LIMO SVCE INC,12,86
B00623,MANHATTAN INTL LIMO NETWORK LLC',12,176
B00652,RESCUE C/S INC,12,61
B00692,CHEERS DISPATCHINC.,12,2
B00706,VIC & BAY CAR SERVICE INC,12,61
B00789,VITAL TRANSPORTATION INC.,12,122
B00833,OMEGA CAR SERVICE INC.,12,45
B00837,CAREY LIMO N Y INC,12,181
B00856,BEE-BEE CAR & LIMO CORP,12,61
B00881,CROSSBAY CAR SERVICE INC.,12,101
B00887,DIAL 7 CAR & LIMOUSINE SERVICE INC.,9,59
B00888,ACE C/L SVCE INC,12,153
B00889,MEXICANA CAR SERVICE INC.,12,30
B00906,OLYMPIA OPERATING CAR SERVICE OF NY CORP.,12,75
B00911,RIVERSIDE PLUS RADIO DISPATCH INC.,12,61
B00919,HARLEM CARS INC.,12,90
B00932,NATASHAS GRP CAR CORP,12,59
B00941,PERSONAL TOUCH C/S,12,122
B00948,"510 CAR SERVICE CORP",12,122
B00965,NELPEL CAR SVC INC.,12,26
B00975,T.J.Q. CAR SERVICE INC.,12,40
B00983,"1431 CAR SERVICE INC.",12,92
B00991,P F MANAGEMENT INC,12,12
B01009,UNITED LIMO C/M SVC CORP,12,26
B01013,AMERICANA TRANSPORTATION LLC,12,80
B01016,"810 CAR SVCE CORP",12,153
B01020,MICHAELS CAR SERVICE INC.,12,49
B01039,NYC WHEELS CAR SERVICE INC.,12,74
B01048,HILLSIDE 24 HOURS RADIO DISPATCH INC,12,91
B01066,DOMINICANA RAD DISP INC,12,90
B01069,RPO CAR AND LIMOUSINE SERVICE INC.,12,60
B01079,THE METRO MARINE CAR SERVICE INC,12,31
B01083,BROAD DYCKMAN C/S INC,12,59
B01087,ELITE LIMO PLUS INC,12,120
B01109,UNITED EXP C/L SVCE,12,31
B01129,GTWY INC,12,91
B01148,EVELYN CAR SERVICE INC,12,181
B01176,SANTO DOMINGO C/S INC,12,30
B01177,SLMK INC.,12,92
B01196,"",8,76
B01197,TEL-A-CAR OF NEW YORK LLC,12,181
B01222,ANDREA CAR SVCE INC,12,27
B01231,GO CAR CORP.,12,61
B01233,NEW LACONIA RAD DISP INC,12,31
B01265,CAPRICE C/S CORP,12,36
B01269,DIVISION CAR & LIMO INC.,12,79
B01280,BENSONHURST RIDE INC.,12,60
B01282,NEW LOTS C/S INC,12,90
B01285,UNION RADIO DISPATCH INC,12,59
B01292,SHEPREID CAR SERVICE AND LIMOUSINE CORP.,12,61
B01300,KENNEDY RAD DISP INC,12,89
B01306,R N D TRANSPORTATION INC.,12,91
B01308,LILD DISPATCH INC.,12,61
B01311,DISCOUNT CAR SVCE,12,61
B01312,BROOKLYN RAD DISP INC,12,90
B01313,JOY CAR SERVICES INC.,12,182
B01315,V.I.T. CAR SERVICE INC.,12,120
B01318,LOWER EAST SIDE C/S CORP,12,30
